symptom,disease,source_record_id,frequency
small shapes moving across field of vision (floaters),uveitis,75,1
loss of ability to see objects at side of field of vision (peripheral vision),uveitis,75,1
severe swelling,acute idiopathic nephrotic syndrome,80,1
foamy urine,acute idiopathic nephrotic syndrome,80,1
weight gain,acute idiopathic nephrotic syndrome,80,1
fatigue,acute idiopathic nephrotic syndrome,80,1
loss of appetite,acute idiopathic nephrotic syndrome,80,1
joint pain,acute lupus erythematosus,81,1
muscle pain,acute lupus erythematosus,81,1
extreme fatigue,acute lupus erythematosus,81,1
sun-induced rashes (often on nose and cheeks),acute lupus erythematosus,81,1
headaches,acute lupus erythematosus,81,1
mouth ulcers,acute lupus erythematosus,81,1
fever,acute lupus erythematosus,81,1
hair loss,acute lupus erythematosus,81,1
weight loss,acute lupus erythematosus,81,1
swollen glands (neck,acute lupus erythematosus,81,1
armpits,acute lupus erythematosus,81,1
groin),acute lupus erythematosus,81,1
depression,acute lupus erythematosus,81,1
anxiety,acute lupus erythematosus,81,1
chest pain,acute lupus erythematosus,81,1
tummy pain,acute lupus erythematosus,81,1
color changes in fingers and toes (raynaud's),acute lupus erythematosus,81,1
fatigue,acute multiple sclerosis,82,1
vision problems,acute multiple sclerosis,82,1
numbness,acute multiple sclerosis,82,1
tingling,acute multiple sclerosis,82,1
muscle spasms,acute multiple sclerosis,82,1
stiffness,acute multiple sclerosis,82,1
weakness,acute multiple sclerosis,82,1
mobility problems,acute multiple sclerosis,82,1
pain,acute multiple sclerosis,82,1
cognitive issues,acute multiple sclerosis,82,1
depression,acute multiple sclerosis,82,1
anxiety,acute multiple sclerosis,82,1
sexual problems,acute multiple sclerosis,82,1
bladder problems,acute multiple sclerosis,82,1
bowel problems,acute multiple sclerosis,82,1
speech difficulties,acute multiple sclerosis,82,1
swallowing difficulties,acute multiple sclerosis,82,1
fever,"acute rheumatic heart disease, unspecified",83,2
painful joints (knees,"acute rheumatic heart disease, unspecified",83,2
ankles,"acute rheumatic heart disease, unspecified",83,2
elbows,"acute rheumatic heart disease, unspecified",83,2
wrists),"acute rheumatic heart disease, unspecified",83,2
migrating joint pain,"acute rheumatic heart disease, unspecified",83,2
fatigue,"acute rheumatic heart disease, unspecified",83,2
chorea (jerky movements),"acute rheumatic heart disease, unspecified",83,2
painless nodules under the skin,"acute rheumatic heart disease, unspecified",83,2
rash (pink rings with clear center),"acute rheumatic heart disease, unspecified",83,2
heart murmur,"acute rheumatic heart disease, unspecified",83,2
chest pain,"acute rheumatic heart disease, unspecified",83,2
shortness of breath,"acute rheumatic heart disease, unspecified",83,2
swelling (stomach,"acute rheumatic heart disease, unspecified",83,2
hands,"acute rheumatic heart disease, unspecified",83,2
feet),"acute rheumatic heart disease, unspecified",83,2
rapid or irregular heartbeat,"acute rheumatic heart disease, unspecified",83,2
fever,"acute rheumatic heart disease, unspecified",88,2
painful joints (knees,"acute rheumatic heart disease, unspecified",88,2
ankles,"acute rheumatic heart disease, unspecified",88,2
elbows,"acute rheumatic heart disease, unspecified",88,2
wrists),"acute rheumatic heart disease, unspecified",88,2
migrating joint pain,"acute rheumatic heart disease, unspecified",88,2
fatigue,"acute rheumatic heart disease, unspecified",88,2
chorea (jerky movements),"acute rheumatic heart disease, unspecified",88,2
painless nodules under the skin,"acute rheumatic heart disease, unspecified",88,2
rash (pink rings with clear center),"acute rheumatic heart disease, unspecified",88,2
heart murmur,"acute rheumatic heart disease, unspecified",88,2
chest pain,"acute rheumatic heart disease, unspecified",88,2
shortness of breath,"acute rheumatic heart disease, unspecified",88,2
swelling (stomach,"acute rheumatic heart disease, unspecified",88,2
hands,"acute rheumatic heart disease, unspecified",88,2
feet),"acute rheumatic heart disease, unspecified",88,2
rapid or irregular heartbeat,"acute rheumatic heart disease, unspecified",88,2
sneezing,severe allergic reactions,89,1
itching of the nose/eyes/roof of the mouth,severe allergic reactions,89,1
runny/stuffy nose,severe allergic reactions,89,1
watery/red/swollen eyes,severe allergic reactions,89,1
tingling in the mouth,severe allergic reactions,89,1
swelling of lips/tongue/face/throat,severe allergic reactions,89,1
hives,severe allergic reactions,89,1
large area of swelling at sting site,severe allergic reactions,89,1
itching/hives all over the body,severe allergic reactions,89,1
cough,severe allergic reactions,89,1
chest tightness,severe allergic reactions,89,1
wheezing,severe allergic reactions,89,1
shortness of breath,severe allergic reactions,89,1
itchy skin,severe allergic reactions,89,1
rash,severe allergic reactions,89,1
facial swelling,severe allergic reactions,89,1
itchiness,severe allergic reactions,89,1
redness,severe allergic reactions,89,1
flaking,severe allergic reactions,89,1
peeling,severe allergic reactions,89,1
shutting one eye or squinting,amblyopia,92,1
eyes pointing in different directions (squint),amblyopia,92,1
inability to follow objects or people with eyes,amblyopia,92,1
tilting head when looking at something,amblyopia,92,1
tired eyes and frequent rubbing,amblyopia,92,1
headaches,amblyopia,92,1
difficulty with catching or throwing,amblyopia,92,1
tripping or falling often,amblyopia,92,1
excessive blinking,amblyopia,92,1
involuntary shaking (tremor),parkinsonism,93,1
slow movement,parkinsonism,93,1
stiff and inflexible muscles,parkinsonism,93,1
depression,parkinsonism,93,2
anxiety,parkinsonism,93,1
balance problems,parkinsonism,93,1
loss of sense of smell,parkinsonism,93,1
problems sleeping,parkinsonism,93,1
memory problems,parkinsonism,93,1
pain or discomfort in upper abdomen,peptic ulcer,94,1
feeling full too soon while eating,peptic ulcer,94,1
feeling uncomfortably full after eating,peptic ulcer,94,1
nausea,peptic ulcer,94,1
vomiting,peptic ulcer,94,1
bloating,peptic ulcer,94,1
belching,peptic ulcer,94,1
excessive salivation,poisoning by parasympathomimetics (cholinergics),95,1
lacrimation,poisoning by parasympathomimetics (cholinergics),95,1
increased urination,poisoning by parasympathomimetics (cholinergics),95,1
increased bowel movements,poisoning by parasympathomimetics (cholinergics),95,1
gastrointestinal distress,poisoning by parasympathomimetics (cholinergics),95,1
bradycardia,poisoning by parasympathomimetics (cholinergics),95,1
miosis,poisoning by parasympathomimetics (cholinergics),95,1
muscle weakness,poisoning by parasympathomimetics (cholinergics),95,1
excessive sweating,poisoning by parasympathomimetics (cholinergics),95,1
confusion,poisoning by parasympathomimetics (cholinergics),95,1
agitation,poisoning by parasympathomimetics (cholinergics),95,1
seizures,poisoning by parasympathomimetics (cholinergics),95,1
nausea,poisoning caused by mushrooms,96,1
stomach cramps,poisoning caused by mushrooms,96,1
vomiting,poisoning caused by mushrooms,96,1
diarrhea (sometimes bloody),poisoning caused by mushrooms,96,1
headache,poisoning caused by mushrooms,96,1
dizziness,poisoning caused by mushrooms,96,1
flushing (warm and red),poisoning caused by mushrooms,96,1
heart palpitations,poisoning caused by mushrooms,96,1
seizures,poisoning caused by mushrooms,96,1
hallucinations,poisoning caused by mushrooms,96,1
breathing problems,poisoning caused by mushrooms,96,1
kidney/liver failure,poisoning caused by mushrooms,96,1
coma,poisoning caused by mushrooms,96,1
death,poisoning caused by mushrooms,96,1
muscle twitching,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
weakness,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
excessive salivation,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
sweating,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
miosis (pupillary constriction),poisoning caused by organophosphate anticholinesterase nerve agents,97,1
respiratory distress,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
gastrointestinal disturbances,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
blurred vision,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
bradycardia (slow heart rate),poisoning caused by organophosphate anticholinesterase nerve agents,97,1
confusion,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
anxiety,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
excessive secretions,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
hypertension followed by hypotension,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
seizures,poisoning caused by organophosphate anticholinesterase nerve agents,97,1
nausea,poisoning caused by organophosphorus pesticides,98,2
vomiting,poisoning caused by organophosphorus pesticides,98,2
diarrhea,poisoning caused by organophosphorus pesticides,98,2
excessive salivation,poisoning caused by organophosphorus pesticides,98,1
sweating,poisoning caused by organophosphorus pesticides,98,2
abdominal cramps,poisoning caused by organophosphorus pesticides,98,1
headache,poisoning caused by organophosphorus pesticides,98,1
dizziness,poisoning caused by organophosphorus pesticides,98,1
muscle twitching,poisoning caused by organophosphorus pesticides,98,1
increased heart rate (tachycardia),poisoning caused by organophosphorus pesticides,98,1
breathing difficulties,poisoning caused by organophosphorus pesticides,98,1
chest tightness,poisoning caused by organophosphorus pesticides,98,1
blurred vision,poisoning caused by organophosphorus pesticides,98,1
confusion,poisoning caused by organophosphorus pesticides,98,1
disorientation,poisoning caused by organophosphorus pesticides,98,1
weakness,poisoning caused by organophosphorus pesticides,98,1
fatigue,poisoning caused by organophosphorus pesticides,98,1
anxiety,poisoning caused by organophosphorus pesticides,98,1
restlessness,poisoning caused by organophosphorus pesticides,98,1
excessive mucus production,poisoning caused by organophosphorus pesticides,98,1
convulsions/seizures,poisoning caused by organophosphorus pesticides,98,1
loss of consciousness,poisoning caused by organophosphorus pesticides,98,1
respiratory failure,poisoning caused by organophosphorus pesticides,98,1
paralysis,poisoning caused by organophosphorus pesticides,98,1
coma,poisoning caused by organophosphorus pesticides,98,1
nasal congestion,rhinorrhoea,99,2
sneezing,rhinorrhoea,99,2
postnasal drip,rhinorrhoea,99,2
itchy or watery eyes,rhinorrhoea,99,2
pain (back,spasms,100,2
neck,spasms,100,2
head),spasms,100,2
muscle weakness,spasms,100,2
skin numbness,spasms,100,2
pins-and-needles sensation,spasms,100,2
